ID,Modelo,Ano,Combustível,Câmbio,Cor,Duração Garantia,KM,Preço,Descrição,Marca
1;Sedan;2019;Elétrico;Automático;Vantablack;6;0;149900;Novo;Nissan 
3;Sedan;2020;Elétrico;Automático;Branco;5;20000;160000;Semi-novo;Tesla
4;Kombi;1995;Gasolina;Manual;Branco;1;60000;45000;Usado;Volkswagen
6;Corvette;1997;Gasolina;Manual;Azul;1;100000;94122;Usado;Chevrolet 
7;Camionete;2020;Diesel;Manual;Vermelho;3;30000;150000;Semi-novo;Dodge
8;Sedan;2023;Gasolina;Automático;Verde;5;0;200000;Novo;Citroen
9;Camionete;2023;Diesel;Manual;Preto;5;0;200001;Novo;Hillux
10;Mobi;2021;Gasolina;Manual;Branco;7;70000;40000;Usado;Fiat
11;Model S;2022;Elétrico;Automático;Preto;8;0;449500;Novo;Tesla
12;Model 3;2023;Elétrico;Automático;Prata metálico;4;0;499950;Novo;Tesla
13;Model X;2022;Elétrico;Automático;Preto;1;0;499950;Novo;Tesla
14;Model Y;2023;Elétrico;Automático;Pérola;2;10000;380950;Semi-novo;Tesla
15;Model 3;2023;Elétrico;Automático;Branco;4;0;499950;Novo;Tesla
16;Model X;2022;Elétrico;Automático;Azul;1;0;499950;Novo;Tesla
17;Model Y;2023;Elétrico;Automático;Pérola;5;0;499950;Novo;Tesla
18;Model 3;2023;Elétrico;Automático;Prata metálico;4;0;399950;Novo;Tesla
19;Model X;2022;Elétrico;Automático;Azul marinho fosco;1;0;499950;Novo;Tesla
21;Model 3;2023;Elétrico;Automático;Prata metálico;4;0;499950;Novo;Tesla
23;Model Y;2023;Elétrico;Automático;Branco;5;0;498950;Novo;Tesla
24;Model 3;2023;Elétrico;Automático;Preto;4;0;499950;Novo;Tesla
27;Model Y;2023;Elétrico;Automático;Preto;5;0;499950;Novo;Tesla
28;Celta;1982;Gasolina;Manual;Branco;0;95998484;25000;Tunado;Volks
29;Monza;1980;Flex;Manual;Preto;2;85555;180000;Perigoso;Volks
30;TeslaX;2025;Eletrico;Automatico;prata;5;0;2000000;Modelo compacto de luxo;Tesla
32;Chevette;1969;Diesel;Manual;Prata;0;8000000;80000;Antigo;Chevrolet
